Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Biovar	Race	Phylotype	Comment	Bio Project ID	Project	Sample	Secondary Sample	Date Entered	Release Date	Barcode	Status	Coverage	Version	N50	Length	Predicted Species	Contig Number	No. N's	Barcode
RAL_AA0912AA	CFBP:3581	SRR12634707;ILLUMINA;Paired;;SRX9116895;SRA	Environment	Plant	Solanum lycopersicum					Europe	France							Wageningen Plant Research	Ralstonia solanacearum					PRJNA663270	SRP282310	SAMN16125455	SRS7359431	2024-11-08	2020-12-03	RAL_AA0912AA	Assembled	162.3	5.2	50609	5200410	Ralstonia solanacearum;100.0%	213	6142	RAL_AA1015AA_AS
RAL_AA0913AA	IPO:1750	SRR12634709;ILLUMINA;Paired;;SRX9116894;SRA	Environment	Plant	Solanum lycopersicum					Europe	France							Wageningen Plant Research	Ralstonia solanacearum					PRJNA663270	SRP282310	SAMN16125454	SRS7359430	2024-11-08	2020-12-03	RAL_AA0913AA	Assembled	175.4	5.2	51248	5248128	Ralstonia solanacearum;100.0%	221	7192	RAL_AA1016AA_AS
RAL_AA0914AA	PD:2942	SRR12634710;ILLUMINA;Paired;;SRX9116893;SRA	Environment	Plant	Solanum tuberosum	1996				Europe	Netherlands							Wageningen Plant Research	Ralstonia solanacearum					PRJNA663270	SRP282310	SAMN16125453	SRS7359429	2024-11-08	2020-12-03	RAL_AA0914AA	Assembled	463.6	5.2	100306	5256229	Ralstonia solanacearum;100.0%	141	1072	RAL_AA1017AA_AS
RAL_AA0915AA	PD:2941	SRR12634713;ILLUMINA;Paired;;SRX9116891;SRA	Environment	Plant	Solanum tuberosum	1996				Europe	Netherlands							Wageningen Plant Research	Ralstonia solanacearum					PRJNA663270	SRP282310	SAMN16125452	SRS7359427	2024-11-08	2020-12-03	RAL_AA0915AA	Assembled	498.3	5.2	62655	5252614	Ralstonia solanacearum;100.0%	189	5326	RAL_AA1018AA_AS
RAL_AA0916AA	PD:2940	SRR12634715;ILLUMINA;Paired;;SRX9116890;SRA	Environment	Plant	Solanum tuberosum	1996				Europe	Netherlands							Wageningen Plant Research	Ralstonia solanacearum					PRJNA663270	SRP282310	SAMN16125451	SRS7359426	2024-11-08	2020-12-03	RAL_AA0916AA	Assembled	506.1	5.2	87177	5255771	Ralstonia solanacearum;100.0%	149	1738	RAL_AA1019AA_AS
RAL_AA0917AA	PD:1445	SRR12634716;ILLUMINA;Paired;;SRX9116888;SRA	Environment	Plant	Musa sp.	1959				North America	Panama							Wageningen Plant Research	Ralstonia solanacearum					PRJNA663270	SRP282310	SAMN16125449	SRS7359424	2024-11-08	2020-12-03	RAL_AA0917AA	Assembled	542.1	5.2	79327	5456951	Ralstonia solanacearum;96.3%	136	2245	RAL_AA1020AA_AS
RAL_AA0918AA	PD:1408	SRR12634717;ILLUMINA;Paired;;SRX9116887;SRA	Environment	Plant	Solanum tuberosum	1989				South America	Chile							Wageningen Plant Research	Ralstonia solanacearum					PRJNA663270	SRP282310	SAMN16125448	SRS7359423	2024-11-08	2020-12-03	RAL_AA0918AA	Assembled	141.2	5.2	64703	5261380	Ralstonia solanacearum;100.0%	181	3838	RAL_AA1021AA_AS
RAL_AA0919AA	PD:1260	SRR12634721;ILLUMINA;Paired;;SRX9116886;SRA	Environment	Plant	Solanum tuberosum	1988				Europe	France							Wageningen Plant Research	Ralstonia solanacearum					PRJNA663270	SRP282310	SAMN16125447	SRS7359422	2024-11-08	2020-12-03	RAL_AA0919AA	Assembled	161.8	5.2	58467	5248077	Ralstonia solanacearum;100.0%	204	6169	RAL_AA1022AA_AS
RAL_AA0920AA	PD:1254	SRR12634718;ILLUMINA;Paired;;SRX9116885;SRA	Environment	Plant	Solanum tuberosum	1988				Asia	India							Wageningen Plant Research	Ralstonia solanacearum					PRJNA663270	SRP282310	SAMN16125446	SRS7359421	2024-11-08	2020-12-03	RAL_AA0920AA	Assembled	149.9	5.2	101467	5250262	Ralstonia solanacearum;100.0%	146	1185	RAL_AA1023AA_AS
RAL_AA0927AA	P824	SRR8295614;ILLUMINA;Paired;;SRX5110120;SRA,SRR8295615;PACBIO_SMRT;Single;;SRX5110119;SRA	Environment	Plant	Vaccinium corymbosum	2017				North America	United States	Florida						University of Florida	Ralstonia solanacearum					PRJNA422804	SRP172971	SAMN08196801	SRS4119317	2024-11-08	2018-12-10	RAL_AA0927AA	Assembled	1800.7	5.2	97012	5829660	Ralstonia solanacearum;99.49%	277	2016	RAL_AA1068AA_AS
RAL_AA0928AA	P822	SRR8294950;ILLUMINA;Paired;;SRX5109538;SRA	Environment	Plant	Blueberry	2017				North America	United States	Florida						University of Florida	Ralstonia solanacearum					PRJNA432008	SRP172962	SAMN08407853	SRS4118776	2024-11-08	2018-12-10	RAL_AA0928AA	Assembled	1746.2	5.2	106246	5439624	Ralstonia solanacearum;96.72%	218	1019	RAL_AA1027AA_AS
RAL_AA0929AA	P816	SRR8292481;ILLUMINA;Paired;;SRX5107069;SRA	Environment	Soil/Dust	high bush blueberry; field	2016				North America	United States	Florida						University of Florida	Ralstonia solanacearum					PRJNA359352	SRP172896	SAMN06189571	SRS4116606	2024-11-08	2018-12-08	RAL_AA0929AA	Assembled	521.3	5.2	139000	5678976	Ralstonia solanacearum;98.8%	198	1096	RAL_AA1028AA_AS
RAL_AA0960AA	P597	SRR5595754;ILLUMINA;Paired;;SRX2850877;SRA	Environment	Plant	Tomato; plant	1999				North America	United States	New Jersey	Cape May County	Middle Township		39.033876	-74.858813	University of Florida MREC	Ralstonia solanacearum					PRJNA243370	SRP107953	SAMN02716068	SRS2223107	2024-11-08	2017-05-24	RAL_AA0960AA	Assembled	227.6	5.2	30663	5796358	Ralstonia solanacearum;98.72%	575	121268	RAL_AA1036AA_AS
RAL_AA0962AA	CIP120	SRR5593152;ILLUMINA;Paired;;SRX2849981;SRA	Environment	Plant	potato	2004	10	23		South America	Peru							University of Florida MREC	Ralstonia solanacearum					PRJNA269725	SRP051447	SAMN03256333	SRS2222624	2024-11-08	2017-05-24	RAL_AA0962AA	Assembled	166.6	5.2	72321	5740983	Ralstonia solanacearum;98.28%	351	83995	RAL_AA1038AA_AS
RAL_AA0963AA	CFBP6783	SRR5593153;ILLUMINA;Paired;;SRX2849980;SRA	Environment	Plant	Heliconia	2002				Europe	France	Martinique						University of Florida MREC	Ralstonia solanacearum					PRJNA269725	SRP051447	SAMN03256353	SRS2222623	2024-11-08	2017-05-24	RAL_AA0963AA	Assembled	195	5.2	77654	5639350	Ralstonia solanacearum;99.09%	251	88461	RAL_AA1039AA_AS
RAL_AA0965AA	GRs-Mep2	SRR5053390;ILLUMINA;Paired;;SRX2373051;SRA	Environment	Plant	Ginger; Pseudostem	2013	7	27		Asia	India	Kerala						INDIAN INSTITUTE OF SPICES RESEARCH, KOZHIKODE, KERALA, INDIA	Ralstonia solanacearum					PRJNA353629	SRP093871	SAMN06034710	SRS1817634	2024-11-08	2017-11-24	RAL_AA0965AA	Assembled	861.8	5.2	58139	5822231	Ralstonia solanacearum;98.8%	288	1554	RAL_AA1041AA_AS
RAL_AA0966AA	GRs-Sik	SRR5053389;ILLUMINA;Paired;;SRX2373041;SRA	Environment	Plant	Ginger; Rhizome	2009	11	4		Asia	India	Sikkim						INDIAN INSTITUTE OF SPICES RESEARCH, KOZHIKODE, KERALA, INDIA	Ralstonia solanacearum					PRJNA350503	SRP093869	SAMN05942177	SRS1817631	2024-11-08	2017-10-26	RAL_AA0966AA	Assembled	910.7	5.2	57042	5814801	Ralstonia solanacearum;99.14%	281	2664	RAL_AA1042AA_AS
RAL_AA0970AA	RD15	SRR4381869;ILLUMINA;Paired;;SRX2229800;SRA	Environment	Plant	potato					Asia	Taiwan							University of Exeter	Ralstonia solanacearum					PRJNA347357	SRP091006	SAMN05879720	SRS1733694	2024-11-08	2016-10-12	RAL_AA0970AA	Assembled	510.8	5.2	99926	5537687	Ralstonia solanacearum;99.64%	178	1266	RAL_AA1046AA_AS
RAL_AA0971AA	PSS4	SRR4381868;ILLUMINA;Paired;;SRX2229799;SRA	Environment	Plant	potato					Asia	Taiwan							University of Exeter	Ralstonia solanacearum					PRJNA347357	SRP091006	SAMN05879719	SRS1733692	2024-11-08	2016-10-12	RAL_AA0971AA	Assembled	330.3	5.2	104654	5646576	Ralstonia solanacearum;97.7%	227	1269	RAL_AA1047AA_AS
RAL_AA0972AA	PSS216	SRR4381867;ILLUMINA;Paired;;SRX2229798;SRA	Environment	Plant	potato					Asia	Taiwan							University of Exeter	Ralstonia solanacearum					PRJNA347357	SRP091006	SAMN05879718	SRS1733693	2024-11-08	2016-10-12	RAL_AA0972AA	Assembled	313	5.2	82656	5977620	Ralstonia solanacearum;99.2%	366	2870	RAL_AA1048AA_AS
RAL_AA0973AA	PSS190	SRR4381866;ILLUMINA;Paired;;SRX2229797;SRA	Environment	Plant	potato					Asia	Taiwan							University of Exeter	Ralstonia solanacearum					PRJNA347357	SRP091006	SAMN05879717	SRS1733691	2024-11-08	2016-10-12	RAL_AA0973AA	Assembled	529	5.2	64710	5513833	Ralstonia solanacearum;99.46%	252	1256	RAL_AA1049AA_AS
RAL_AA0974AA	PSS1308	SRR4381865;ILLUMINA;Paired;;SRX2229796;SRA	Environment	Plant	potato					Asia	Taiwan							University of Exeter	Ralstonia solanacearum					PRJNA347357	SRP091006	SAMN05879716	SRS1733690	2024-11-08	2016-10-12	RAL_AA0974AA	Assembled	654.6	5.2	113807	5752670	Ralstonia solanacearum;99.83%	237	1614	RAL_AA1050AA_AS
RAL_AA0976AA	UW551	SRR3279412;ILLUMINA;Paired;587;SRX1653418;SRA	Environment	Plant	stem; symptomatic geranium 'Americana Dark Red' plant; Pelargonium	2003				Africa	Kenya							cBio Inc	Ralstonia solanacearum					PRJNA257008	SRP052870	SAMN04216073	SRS1354522	2024-11-08	2016-03-23	RAL_AA0976AA	Assembled	576.1	5.2	110339	5256428	Ralstonia solanacearum;100.0%	133	1310	RAL_AA1051AA_AS
RAL_AA0977AA	UW491	SRR3279411;ILLUMINA;Paired;646;SRX1653417;SRA	Environment	Plant	symptomatic potato plant; Solanum tuberosum (potato)	1950				South America	Colombia							cBio Inc	Ralstonia solanacearum					PRJNA257008	SRP052870	SAMN04216072	SRS1354521	2024-11-08	2016-03-23	RAL_AA0977AA	Assembled	661.7	5.2	140183	5238432	Ralstonia solanacearum;99.6%	120	742	RAL_AA1052AA_AS
RAL_AA0978AA	UW24	SRR3279407;ILLUMINA;Paired;661;SRX1653416;SRA	Environment	Plant	symptomatic potato plant; Solanum tuberosum (potato)	1951				Asia	Israel							cBio Inc	Ralstonia solanacearum					PRJNA257008	SRP052870	SAMN04216071	SRS1354520	2024-11-08	2016-03-23	RAL_AA0978AA	Assembled	497.1	5.2	131368	5181314	Ralstonia solanacearum;100.0%	123	1173	RAL_AA1053AA_AS
RAL_AA0979AA	UW365	SRR3279405;ILLUMINA;Paired;625;SRX1653415;SRA	Environment	Plant	tuber; symptomatic potato plant; Solanum tuberosum (potato)	1980				Asia	China							cBio Inc	Ralstonia solanacearum					PRJNA257008	SRP052870	SAMN04216070	SRS1354519	2024-11-08	2016-03-23	RAL_AA0979AA	Assembled	606.6	5.2	108663	5259882	Ralstonia solanacearum;100.0%	120	977	RAL_AA0005AA_AS
RAL_AA0981AA	UTT-25	SRR1554982;ILLUMINA;Paired;300;SRX683745;SRA,SRR1554981;ILLUMINA;Paired;300;SRX683646;SRA	Environment	Soil/Dust	Bacteria wilted tomato plant form foot hills of Haldwani, Nainital; Foot hills of Haldwani, Nainital; Soil; tomato; wilted tomato plant	2010	8	9								29.22	79.52	Indian Agricultural Research Institute, New Delhi	Ralstonia solanacearum					PRJNA258488	SRP045623	SAMN02999387	SRS686830	2024-11-08	2014-12-31	RAL_AA0981AA	Assembled	89.1	5.2	62127	5736933	Ralstonia solanacearum;99.66%	276	11245	RAL_AA1054AA_AS
RAL_AA0982AA	PD 4190	SRR32478030;ILLUMINA;Paired;;SRX27792028;SRA	Environment	Plant	IAO:0000412; Momordica charantia	2001				Asia	Philippines							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46988001	SRS24169250	2025-03-11	2025-02-25	RAL_AA0982AA	Assembled	327.6	5.2	57992	5610368	Ralstonia solanacearum;100.0%	273	1124	RAL_AA1079AA_AS
RAL_AA0983AA	PD 4138	SRR32478031;ILLUMINA;Paired;;SRX27792027;SRA	Environment	Plant	IAO:0000412; Curcuma longa	2001												NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46988000	SRS24169249	2025-03-11	2025-02-25	RAL_AA0983AA	Assembled	351.4	5.2	132907	5784978	Ralstonia solanacearum;98.1%	148	2729	RAL_AA1080AA_AS
RAL_AA0984AA	PD 3822	SRR32478032;ILLUMINA;Paired;;SRX27792026;SRA	Environment	Plant	IAO:0000412; Curcuma alismatifolia	2000				Africa	South Africa							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987999	SRS24169248	2025-03-11	2025-02-25	RAL_AA0984AA	Assembled	267.7	5.2	121336	5786160	Ralstonia solanacearum;98.24%	169	1740	RAL_AA1081AA_AS
RAL_AA0985AA	PD 3597	SRR32478033;ILLUMINA;Paired;;SRX27792025;SRA	Environment	Plant	IAO:0000412; Solanum lycopersicum	1999				Africa	Kenya							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987998	SRS24169246	2025-03-11	2025-02-25	RAL_AA0985AA	Assembled	290.5	5.2	84608	5720637	Ralstonia solanacearum;99.32%	255	1838	RAL_AA1082AA_AS
RAL_AA0986AA	PD 3196	SRR32478034;ILLUMINA;Paired;;SRX27792024;SRA	Environment	Plant	IAO:0000412; Curcuma longa	1997												NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987997	SRS24169247	2025-03-11	2025-02-25	RAL_AA0986AA	Assembled	726.9	5.2	144242	5793263	Ralstonia solanacearum;98.11%	141	889	RAL_AA1083AA_AS
RAL_AA0987AA	NIB Z 3683	SRR32478035;ILLUMINA;Paired;;SRX27792023;SRA	Environment	Plant	ENVO:00005780; Zingiber officinale	2023				South America	Peru							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987995	SRS24169243	2025-03-11	2025-02-25	RAL_AA0987AA	Assembled	208.4	5.2	96558	5656757	Ralstonia solanacearum;99.46%	149	1202	RAL_AA1084AA_AS
RAL_AA0988AA	Rpseud-SP3	SRR32478036;ILLUMINA;Paired;;SRX27792022;SRA	Environment	Plant	ENVO:03600087; Rosa sp.	2021				Europe	Greece							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46988020	SRS24169244	2025-03-11	2025-02-25	RAL_AA0988AA	Assembled	173.1	5.2	97964	5702157	Ralstonia solanacearum;100.0%	189	2406	RAL_AA1085AA_AS
RAL_AA0989AA	Rpseud-SA1	SRR32478037;ILLUMINA;Paired;;SRX27792021;SRA	Environment	Plant	ENVO:03600087; Rosa sp.	2021				Europe	Greece							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46988019	SRS24169245	2025-03-11	2025-02-25	RAL_AA0989AA	Assembled	170.3	5.2	90607	5700368	Ralstonia solanacearum;100.0%	192	1873	RAL_AA1086AA_AS
RAL_AA0990AA	AGQB#125	SRR32478038;ILLUMINA;Paired;;SRX27792020;SRA	Environment	Plant	ENVO:00005780; Zingiber officinale	2024				Asia	China							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987984	SRS24169242	2025-03-11	2025-02-25	RAL_AA0990AA	Assembled	193.6	5.2	80387	6013765	Ralstonia solanacearum;98.38%	222	2377	RAL_AA1087AA_AS
RAL_AA0991AA	AGQB#119	SRR32478039;ILLUMINA;Paired;;SRX27792019;SRA	Environment	Plant	ENVO:00005780; Curcuma longa	2023				Asia	Vietnam							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987983	SRS24169241	2025-03-11	2025-02-25	RAL_AA0991AA	Assembled	247.9	5.2	105191	5889523	Ralstonia solanacearum;99.47%	201	2016	RAL_AA1088AA_AS
RAL_AA0992AA	AGQB#103	SRR32478040;ILLUMINA;Paired;;SRX27792018;SRA	Environment	Plant	ENVO:00005780; Zingiber officinale	2023				Asia	China							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987982	SRS24169239	2025-03-11	2025-02-25	RAL_AA0992AA	Assembled	181.3	5.2	120271	5655594	Ralstonia solanacearum;99.46%	146	1662	RAL_AA1089AA_AS
RAL_AA0993AA	AGQB#99	SRR32478041;ILLUMINA;Paired;;SRX27792017;SRA	Environment	Plant	ENVO:00005780; Curcuma longa	2023				Asia	Thailand							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987991	SRS24169240	2025-03-11	2025-02-25	RAL_AA0993AA	Assembled	228.5	5.2	156004	5605870	Ralstonia solanacearum;98.17%	113	790	RAL_AA1090AA_AS
RAL_AA0994AA	AGQB#82	SRR32478042;ILLUMINA;Paired;;SRX27792016;SRA	Environment	Plant	ENVO:00005780; Curcuma longa	2022				Asia	Bangladesh							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987990	SRS24169238	2025-03-11	2025-02-25	RAL_AA0994AA	Assembled	193.2	5.2	141412	5713030	Ralstonia solanacearum;99.46%	116	987	RAL_AA1091AA_AS
RAL_AA0995AA	1454-11/2017	SRR32478043;ILLUMINA;Paired;;SRX27792015;SRA	Environment	Plant	ENVO:00000114; Solanum tuberosum	2017				Europe	Hungary	Somogy County						NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987977	SRS24169237	2025-03-11	2025-02-25	RAL_AA0995AA	Assembled	275.1	5.2	90607	5703022	Ralstonia solanacearum;100.0%	195	1793	RAL_AA1092AA_AS
RAL_AA0996AA	1453-11/2017	SRR32478044;ILLUMINA;Paired;;SRX27792014;SRA	Environment	Plant	ENVO:00000114; Solanum tuberosum	2017				Europe	Hungary	Somogy County						NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987976	SRS24169236	2025-03-11	2025-02-25	RAL_AA0996AA	Assembled	263	5.2	97964	5700754	Ralstonia solanacearum;100.0%	194	2276	RAL_AA1093AA_AS
RAL_AA0997AA	PD 2272	SRR32478045;ILLUMINA;Paired;;SRX27792013;SRA	Environment	Plant	IAO:0000412; Curcuma longa	1993												NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987996	SRS24169235	2025-03-11	2025-02-25	RAL_AA0997AA	Assembled	227.7	5.2	135431	5784588	Ralstonia solanacearum;98.27%	153	1527	RAL_AA1094AA_AS
RAL_AA0998AA	1452-11/2017	SRR32478046;ILLUMINA;Paired;;SRX27792012;SRA	Environment	Plant	ENVO:00000114; Solanum tuberosum	2017				Europe	Hungary	Somogy County						NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987975	SRS24169234	2025-03-11	2025-02-25	RAL_AA0998AA	Assembled	195.9	5.2	83870	5700762	Ralstonia solanacearum;100.0%	191	2057	RAL_AA1095AA_AS
RAL_AA0999AA	1451-11/2017	SRR32478047;ILLUMINA;Paired;;SRX27792011;SRA	Environment	Plant	ENVO:00000114; Solanum tuberosum	2017				Europe	Hungary	Somogy County						NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987974	SRS24169233	2025-03-11	2025-02-25	RAL_AA0999AA	Assembled	222.5	5.2	89168	5701066	Ralstonia solanacearum;100.0%	190	1620	RAL_AA1096AA_AS
RAL_AA1000AA	1449-11/2017	SRR32478048;ILLUMINA;Paired;;SRX27792010;SRA	Environment	Plant	ENVO:00000114; Solanum tuberosum	2017				Europe	Hungary	Somogy County						NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987973	SRS24169232	2025-03-11	2025-02-25	RAL_AA1000AA	Assembled	203.2	5.2	83870	5704231	Ralstonia solanacearum;100.0%	194	1827	RAL_AA1097AA_AS
RAL_AA1001AA	PD 8575	SRR32478049;ILLUMINA;Paired;;SRX27792009;SRA	Environment	Plant	IAO:0000412; Curcuma sp.	2014												NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46988016	SRS24169231	2025-03-11	2025-02-25	RAL_AA1001AA	Assembled	249.3	5.2	144242	5590878	Ralstonia solanacearum;98.22%	143	1910	RAL_AA1098AA_AS
RAL_AA1002AA	UW640	SRR32478050;ILLUMINA;Paired;;SRX27792008;SRA	Environment	Plant	Zingiber officinale					Oceania	Australia							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46988022	SRS24169229	2025-03-11	2025-02-25	RAL_AA1002AA	Assembled	291	5.2	79082	5746715	Ralstonia solanacearum;100.0%	211	2261	RAL_AA1099AA_AS
RAL_AA1003AA	RC5-2 CH	SRR32478051;ILLUMINA;Paired;;SRX27792007;SRA	Environment	Plant	ENVO:00005780; Zingiber officinale	2023				South America	Peru							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46988018	SRS24169230	2025-03-11	2025-02-25	RAL_AA1003AA	Assembled	261.6	5.2	107697	5655956	Ralstonia solanacearum;99.46%	143	1933	RAL_AA1100AA_AS
RAL_AA1004AA	PD 8473	SRR32478052;ILLUMINA;Paired;;SRX27792006;SRA	Food	Unspecified Meat	ENVO:00002042	2023				Europe	Netherlands	Friesland	Leeuwarden Municipality	Leeuwarden				NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46988015	SRS24169228	2025-03-11	2025-02-25	RAL_AA1004AA	Assembled	112.7	5.2	90829	5700168	Ralstonia solanacearum;100.0%	193	2051	RAL_AA1101AA_AS
RAL_AA1005AA	573-11/2022	SRR32478053;ILLUMINA;Paired;;SRX27792005;SRA	Food	Unspecified Meat	ENVO:00002042	2022				Europe	Hungary	Zala County						NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987981	SRS24169227	2025-03-11	2025-02-25	RAL_AA1005AA	Assembled	94.8	5.2	89013	5703975	Ralstonia solanacearum;100.0%	204	3313	RAL_AA1102AA_AS
RAL_AA1006AA	518-11/2022	SRR32478054;ILLUMINA;Paired;;SRX27792004;SRA	Food	Unspecified Meat	ENVO:00002042	2022				Europe	Hungary	Jász-Nagykun-Szolnok		Szolnok				NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987980	SRS24169226	2025-03-11	2025-02-25	RAL_AA1006AA	Assembled	212.5	5.2	86369	5700811	Ralstonia solanacearum;100.0%	197	2135	RAL_AA1103AA_AS
RAL_AA1007AA	508-11/2022	SRR32478055;ILLUMINA;Paired;;SRX27792003;SRA	Food	Unspecified Meat	ENVO:00002042	2022				Europe	Hungary	Hajdú-Bihar		Debrecen				NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987979	SRS24169225	2025-03-11	2025-02-25	RAL_AA1007AA	Assembled	88.1	5.2	87961	5700434	Ralstonia solanacearum;100.0%	198	2623	RAL_AA1104AA_AS
RAL_AA1008AA	PD 8621	SRR32478056;ILLUMINA;Paired;;SRX27792002;SRA	Environment	Plant	IAO:0000412; Zingiber officinale	2024				South America	Peru							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46988017	SRS24169223	2025-03-11	2025-02-25	RAL_AA1008AA	Assembled	358.7	5.2	120271	5692120	Ralstonia solanacearum;99.46%	148	1154	RAL_AA1105AA_AS
RAL_AA1009AA	AGQB#54	SRR32478057;ILLUMINA;Paired;;SRX27792001;SRA	Environment	Plant	IAO:0000412; Zingiber officinale	2022				Asia	Thailand							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987989	SRS24169224	2025-03-11	2025-02-25	RAL_AA1009AA	Assembled	351.4	5.2	168371	5790310	Ralstonia solanacearum;97.91%	111	1241	RAL_AA1106AA_AS
RAL_AA1010AA	AGQB#49	SRR32478058;ILLUMINA;Paired;;SRX27792000;SRA	Environment	Plant	IAO:0000412; Zingiber officinale	2022				South America	Peru							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987988	SRS24169221	2025-03-11	2025-02-25	RAL_AA1010AA	Assembled	379.7	5.2	101282	5655849	Ralstonia solanacearum;99.46%	147	1102	RAL_AA1107AA_AS
RAL_AA1011AA	AGQB#48	SRR32478059;ILLUMINA;Paired;;SRX27791999;SRA	Environment	Plant	IAO:0000412; Curcuma longa	2022				Asia	India							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987987	SRS24169222	2025-03-11	2025-02-25	RAL_AA1011AA	Assembled	356.7	5.2	77520	5597524	Ralstonia solanacearum;99.28%	185	583	RAL_AA1108AA_AS
RAL_AA1012AA	AGQB#45	SRR32478060;ILLUMINA;Paired;;SRX27791998;SRA	Environment	Plant	IAO:0000412; Curcuma longa	2021				North America	Costa Rica							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987986	SRS24169219	2025-03-11	2025-02-25	RAL_AA1012AA	Assembled	383.9	5.2	110142	5769662	Ralstonia solanacearum;99.65%	212	1800	RAL_AA1109AA_AS
RAL_AA1013AA	AGQB#27	SRR32478061;ILLUMINA;Paired;;SRX27791997;SRA	Environment	Plant	IAO:0000412; Zingiber officinale	2021				South America	Peru							NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987985	SRS24169220	2025-03-11	2025-02-25	RAL_AA1013AA	Assembled	465.7	5.2	118597	5655805	Ralstonia solanacearum;99.46%	141	936	RAL_AA1110AA_AS
RAL_AA1014AA	CREA-DC 2105 (I2120)	SRR32478062;ILLUMINA;Paired;;SRX27791996;SRA	Environment	Plant	ENVO:00000114; Solanum lycopersicum	2021				Europe	Italy	Emilia-Romagna	Province of Parma	Parma				NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987994	SRS24169218	2025-03-11	2025-02-25	RAL_AA1014AA	Assembled	502.1	5.2	100980	5788074	Ralstonia solanacearum;99.83%	210	1952	RAL_AA1111AA_AS
RAL_AA1015AA	CREA-DC 2104 (I2116)	SRR32478063;ILLUMINA;Paired;;SRX27791995;SRA	Environment	Plant	ENVO:00000114; Solanum lycopersicum	2021				Europe	Italy	Emilia-Romagna	Province of Parma	Parma				NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46987993	SRS24169217	2025-03-11	2025-02-25	RAL_AA1015AA	Assembled	358.3	5.2	100980	5790755	Ralstonia solanacearum;99.83%	212	1700	RAL_AA1112AA_AS
RAL_AA1016AA	PD 8184	SRR32478064;ILLUMINA;Paired;;SRX27791994;SRA	Environment	Plant	ENVO:03501239; Solanum dulcamara	2021				Europe	Netherlands	Overijssel						NIVIP	Ralstonia pseudosolanacearum					PRJNA1227534	SRP566108	SAMN46988014	SRS24169216	2025-03-11	2025-02-25	RAL_AA1016AA	Assembled	372.6	5.2	97964	5704878	Ralstonia solanacearum;100.0%	189	1192	RAL_AA1113AA_AS
